4970;18;96424
3882;23;28747010
2550;26;7642714
1460;42;868258
4969;23;1104736
5817;21;654788
2304;35;5834472
5818;16;280622
2303;28;5998620
2545;36;18359122
1697;48;589568
2302;39;1588390
2301;40;640034
2543;21;5829762
1453;39;15557413
2542;26;3124829
3873;34;7069295
4962;34;5555591
3632;22;440330
6900;11;43327
4723;23;196968
5812;20;336746
6902;20;412087
5813;14;383599
4725;22;146585
6904;8;1087333
2307;48;16031818
6903;22;520091
2320;36;1442911
2317;41;1866114
1;213;429296
2315;38;1789448
6919;10;201134
6918;9;6372084
3402;32;6634700
1464;40;525524
2311;49;3907553
5820;19;114296
6910;10;290133
804;41;14652845
6912;19;605115
6915;10;68190
4992;18;605908
2331;32;5976321
1483;41;726688
2330;36;3251982
1481;49;478077
6928;16;426608
2327;46;7430202
1479;46;376781
2326;31;16701879
3414;23;16635363
6929;11;89361
2565;32;6599782
2322;34;1796619
1474;41;1249457
2321;29;76737830
6920;18;612119
4742;35;6608421
4984;19;1309726
4501;25;524244
4985;23;480804
6922;12;45347
6921;20;390628
5834;16;73815983
3657;25;719674
6923;15;227005
817;49;5497966
3419;40;1768652
4989;31;12396437
5837;18;418895
6925;11;28007482
3670;23;668761
6940;18;606683
2342;31;74468408
2581;28;1356261
1490;40;1894817
2338;40;1559065
6938;14;386638
1248;0;0
2337;38;3599964
2579;24;746937
5609;29;7512407
2576;26;194144
1486;40;705222
4752;21;87204
5841;12;2941519
6931;10;3521303
4512;37;1646792
4996;19;81892
4513;30;10826965
6932;18;705536
5845;20;432857
5846;15;92269058
6934;9;26255
5847;14;606440
6937;16;278507
5848;19;454684
6936;11;91841
4771;24;1736296
4772;23;450597
6951;18;493614
2352;29;8314851
2594;39;1321941
1020;50;4538307
2108;40;2388121
6708;13;204101
2107;40;2096702
6707;19;1475255
1017;41;959860
2106;42;1622492
2348;41;3629616
2347;42;6961184
3436;37;5526820
6709;12;20327539
2104;39;288442
2588;23;1542298
2344;38;2381807
2585;27;421954
5852;19;186127
6942;20;610418
3675;22;9495555
5853;14;141724
6941;18;3694111
5612;21;542263
6702;16;444581
6701;11;111468
6704;11;2110
5615;18;197394
6703;16;320223
4780;24;284918
6960;10;196352
4540;18;25448
4783;19;21251886
6962;15;527283
5631;31;13311831
2363;32;5286070
1030;48;12673711
2119;32;5685601
3208;38;5450419
6719;13;409366
6718;14;151344
2117;29;1555911
2359;28;34641636
2115;40;4844912
2599;41;6493805
600;51;146694
2112;34;8506314
5621;15;853843
603;43;4271397
3686;22;5153309
5865;25;1504053
606;44;7216587
5626;26;404121
5868;32;8561381
6714;19;421872
5627;15;924136
6717;17;387678
6958;9;4533423
5880;14;801776
4550;25;199190
5881;12;1067938
4793;30;1566399
5640;21;2200486
6970;17;612178
5883;20;487668
6973;13;635530
6972;21;558701
3464;41;5171752
2374;42;971474
3462;23;4955026
6729;11;1555470
3459;34;26367986
2367;39;5869812
2124;32;4089003
612;42;16081203
5633;16;431818
5875;19;401173
6721;10;60689
6963;21;468311
5634;16;481048
6723;11;1481062
5637;18;382021
5879;15;103212232
6725;24;933456
5638;30;10732556
